Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C6, C8",0402,5,0.1uF,C1525
"C11, C9",0402,2,1uF,C52923
C13,0402,1,10uF,C15525
"J1, J11",1mm Pads,2,SDA,
"J10, J12",1mm Pads,2,SCL,
"J13, J15, J2, J4, J6, J8",1mm Pads,6,3V3,
"J14, J16, J3, J5, J7, J9",1mm Pads,6,GND,
"R1, R2",0402,2,10K,C25744
TP1,PinHeader_1x01_P2.54mm_Vertical,1,3V3,
TP2,PinHeader_1x01_P2.54mm_Vertical,1,SDA,
TP3,PinHeader_1x01_P2.54mm_Vertical,1,SCL,
TP4,PinHeader_1x01_P2.54mm_Vertical,1,GND,
U1,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,C726001
U3,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
U4,UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm,1,TLV74318PDQNR3,C2860843
