Designator,Mid X,Mid Y,Rotation,Layer
C1,71.9,-59.65,90.0,top
C11,72.75,-57.4,180.0,top
C13,74.5375,-56.9,0.0,top
C3,73.7,-62.800001,0.0,top
C4,71.9,-61.400001,270.0,top
C6,75.8,-57.800001,270.0,top
C8,76.8,-62.0,0.0,top
C9,72.75,-58.200002,180.0,top
J1,79.0,-59.25,0.0,bottom
J10,79.0,-60.75,0.0,bottom
J11,79.8,-59.25,0.0,top
J12,79.8,-60.75,0.0,top
J13,79.8,-58.0,0.0,top
J14,79.8,-62.0,0.0,top
J15,73.0,-55.2,0.0,top
J16,73.0,-64.8,0.0,top
J2,79.0,-58.0,0.0,bottom
J3,79.0,-62.0,0.0,bottom
J4,73.0,-56.0,270.0,bottom
J5,77.0,-56.0,270.0,bottom
J6,71.0,-62.0,180.0,bottom
J7,71.0,-58.0,180.0,bottom
J8,77.0,-64.0,90.0,bottom
J9,73.0,-64.0,90.0,bottom
R1,77.25,-58.300001,0.0,top
R2,77.1,-57.45,0.0,top
TP1,81.25,-55.95,0.0,top
TP2,81.25,-58.65,0.0,top
TP3,81.25,-61.35,0.0,top
TP4,81.25,-64.05,0.0,top
U1,74.15,-60.45,270.0,top
U3,77.275,-60.2,90.0,top
U4,74.4775,-57.852501,0.0,top
